Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Dec 16,Santa Fe College,"L, 80-70",0,8,4,15,21.0,6.0,5.0,13.0,25-51,49.0,6-11,54.5,14-25,56.0,70.0,31-73,42.5,6-19,31.6,80.0,6,24,30,-28.0,17.0,41.0,58.0,-28.0,0,1.217,0.276,21,0.941,0.276
Dec 17,St. Petersburg College,"W, 79-72",0,5,4,10,16.0,11.0,2.0,13.0,24-46,52.2,10-19,52.6,21-27,77.8,79.0,31-77,40.3,0-1,0.0,72.0,19,26,45,-4.0,19.0,30.0,49.0,-4.0,0,1.951,1.093,21,0.857,1.093
Dec 18,Morton College,"L, 77-53",0,2,3,0,17.0,13.0,0.0,21.0,17-52,32.7,8-19,42.1,11-24,45.8,53.0,28-67,41.8,13-37,35.1,77.0,18,21,39,1.0,14.0,24.0,38.0,1.0,0,1.152,0.139,0,1.013,0.139
Jan 6 #,Advanced Academy prep,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jan 8,Montgomery College (MD),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jan 12,at Hillsborough Community College,"L, 85-73",24,8,2,14,15.0,18.0,1.0,20.0,28-59,47.5,8-21,38.1,9-14,64.3,73.0,29-71,40.8,8-24,33.3,85.0,17,36,53,22.0,9.0,22.0,31.0,22.0,0,1.000,0.050,18,0.95,0.05
Jan 15,at Florida Southwestern State College,"L, 67-48",0,0,0,4,27.0,16.0,6.0,18.0,16-60,26.7,5-23,21.7,11-18,61.1,48.0,26-59,44.1,0-4,0.0,67.0,8,17,25,-23.0,14.0,34.0,48.0,-23.0,0,0.787,-0.011,18,0.798,-0.011
Jan 19,Indian River State College,"L, 64-51",0,0,3,0,13.0,9.0,6.0,11.0,18-38,47.4,2-8,25.0,13-21,61.9,51.0,22-58,37.9,8-22,36.4,64.0,10,26,36,1.0,12.0,23.0,35.0,1.0,0,1.325,0.348,0,0.977,0.348
Jan 29,Hillsborough Community College,"L, 94-84",0,13,0,20,19.0,24.0,1.0,15.0,37-58,63.8,5-19,26.3,5-7,71.4,84.0,35-83,42.2,12-28,42.9,94.0,16,22,38,1.0,14.0,23.0,37.0,1.0,0,1.846,0.862,13,0.984,0.862
Feb 2,Florida Southwestern State College,"L, 75-54",0,5,0,6,20.0,8.0,7.0,23.0,21-52,40.4,5-19,26.3,7-11,63.6,54.0,31-72,43.1,2-15,13.3,75.0,10,24,34,-26.0,21.0,39.0,60.0,-26.0,0,1.137,0.175,13,0.962,0.175
Feb 5,at Indian River State College,"L, 83-63",0,2,0,4,16.0,10.0,3.0,20.0,23-48,47.9,3-7,42.9,14-16,87.5,63.0,28-71,39.4,9-29,31.0,83.0,15,23,38,1.0,17.0,20.0,37.0,1.0,0,1.537,0.524,0,1.012,0.524
Feb 16,at Hillsborough Community College,"L, 93-74",3,12,5,8,17.0,13.0,1.0,18.0,28-57,49.1,5-23,21.7,13-18,72.2,74.0,32-80,40.0,11-29,37.9,93.0,21,27,48,3.0,19.0,26.0,45.0,3.0,0,1.542,0.508,18,1.033,0.508
Feb 19,at Florida Southwestern State College,"L, 80-62",0,0,0,0,21.0,23.0,5.0,20.0,22-59,37.3,8-19,42.1,10-15,66.7,62.0,30-76,39.5,8-20,40.0,80.0,6,25,31,-20.0,21.0,30.0,51.0,-20.0,0,1.025,0.067,19,0.958,0.067
Feb 22,Indian River State College,"L, 67-61",0,10,4,10,22.0,9.0,2.0,19.0,23-56,41.1,2-8,25.0,13-19,68.4,61.0,25-57,43.9,9-21,42.9,67.0,13,27,40,8.0,8.0,24.0,32.0,8.0,0,1.162,0.292,0,0.87,0.292
Mar 16,vs. NJCAA National Tournament,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
