Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 14 #,St. Thomas University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 16 #,Florida National University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19 #,She Hoops Elite,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 1,Palm Beach State College,"W, 71-63",11,9,2,9,23.0,9.0,5.0,17.0,30-68,44.1,3-19,15.8,8-15,53.3,71.0,25-65,38.5,10-30,33.3,63.0,13,33,46,20.0,7.0,19.0,26.0,20.0,3,0.966,0.207,13,0.759,0.207
Nov 2,at St. Petersburg College,"L, 76-68",23,8,4,17,21.0,15.0,1.0,15.0,26-68,38.2,5-13,38.5,11-22,50.0,68.0,29-72,40.3,1-2,50.0,76.0,8,33,41,-6.0,19.0,28.0,47.0,-6.0,22,0.723,-0.112,23,0.835,-0.112
Nov 5,vs. Chipola College,"L, 95-40",50,8,7,12,12.0,32.0,6.0,17.0,15-46,32.6,4-21,19.0,6-14,42.9,40.0,41-75,54.7,3-17,17.6,95.0,10,28,38,12.0,8.0,18.0,26.0,12.0,15,0.430,-0.688,17,1.118,-0.688
Nov 6,vs. Pensacola State College,"L, 95-54",23,6,0,13,9.0,7.0,0.0,11.0,23-56,41.1,4-17,23.5,4-9,44.4,54.0,36-68,52.9,7-17,41.2,95.0,14,18,32,-1.0,18.0,15.0,33.0,-1.0,13,0.777,-0.542,9,1.319,-0.542
Nov 10,at Eastern Florida State College,"L, 84-64",18,8,2,10,15.0,18.0,12.0,22.0,22-52,42.3,4-16,25.0,16-18,88.9,64.0,32-78,41.0,6-27,22.2,84.0,12,22,34,-14.0,22.0,26.0,48.0,-14.0,12,0.955,-0.088,17,1.043,-0.088
Nov 12,vs. Tallahassee Community College,"W, 76-68",18,3,5,4,21.0,4.0,2.0,10.0,26-52,50.0,8-17,47.1,16-29,55.2,76.0,25-68,36.8,2-14,14.3,68.0,9,19,28,-16.0,15.0,29.0,44.0,-16.0,5,1.007,0.202,15,0.805,0.202
Nov 13,vs. Santa Fe College,"L, 83-68",17,0,0,6,11.0,8.0,0.0,12.0,27-58,46.6,8-25,32.0,6-7,85.7,68.0,30-67,44.8,7-21,33.3,83.0,21,26,47,9.0,13.0,25.0,38.0,9.0,5,1.183,0.091,12,1.092,0.091
Nov 15,at Daytona State College,"L, 71-57",26,4,8,9,12.0,15.0,5.0,8.0,18-49,36.7,6-25,24.0,12-17,70.6,57.0,21-61,34.4,5-14,35.7,71.0,20,31,51,16.0,14.0,21.0,35.0,16.0,21,0.898,-0.024,21,0.922,-0.024
Nov 19,at Tallahassee Community College,"W, 71-63",32,9,1,15,0.0,0.0,0.0,0.0,23-42,54.8,5-10,50.0,20-31,64.5,71.0,20-63,31.7,9-20,45.0,63.0,16,35,51,51.0,0.0,0.0,0.0,51.0,9,0.966,0.178,0,0.787,0.178
Nov 20,vs. Gulf Coast State College,"L, 84-62",16,6,6,4,10.0,21.0,5.0,15.0,19-44,43.2,8-18,44.4,16-19,84.2,62.0,32-80,40.0,3-14,21.4,84.0,9,28,37,4.0,14.0,19.0,33.0,4.0,8,1.025,0.065,17,0.96,0.065
Nov 23,Chipola College,"L, 74-49",36,8,1,10,12.0,19.0,1.0,17.0,18-53,34.0,3-12,25.0,10-17,58.8,49.0,25-44,56.8,1-8,12.5,74.0,16,37,53,-1.0,20.0,34.0,54.0,-1.0,10,0.601,-0.864,14,1.465,-0.864
Dec 1,at Palm Beach State College,"W, 81-54",11,10,4,15,18.0,7.0,7.0,10.0,32-66,48.5,8-17,47.1,9-15,60.0,81.0,21-62,33.9,4-17,23.5,54.0,20,31,51,16.0,12.0,23.0,35.0,16.0,11,1.256,0.531,15,0.725,0.531
Dec 3,Eastern Florida State College,"L, 77-65",12,12,3,12,25.0,9.0,9.0,10.0,23-61,37.7,8-17,47.1,11-19,57.9,65.0,24-58,41.4,5-18,27.8,77.0,15,18,33,-10.0,18.0,25.0,43.0,-10.0,19,0.963,0.018,18,0.945,0.018
Dec 4,Daytona State College,"L, 49-47",20,7,6,12,17.0,12.0,5.0,4.0,19-52,36.5,4-20,20.0,5-8,62.5,47.0,17-55,30.9,2-13,15.4,49.0,16,29,45,22.0,7.0,16.0,23.0,22.0,9,0.783,0.117,6,0.667,0.117
Dec 10,vs. Gulf Coast State College,"L, 73-62",12,6,5,3,13.0,11.0,2.0,9.0,22-67,32.8,3-20,15.0,15-22,68.2,62.0,27-65,41.5,4-19,21.1,73.0,17,24,41,4.0,10.0,27.0,37.0,4.0,12,0.849,-0.063,19,0.912,-0.063
Dec 11,vs. DME Academy,"L, 74-67",21,11,0,17,17.0,17.0,4.0,13.0,26-57,45.6,10-25,40.0,5-10,50.0,67.0,29-67,43.3,8-19,42.1,74.0,8,28,36,-3.0,13.0,26.0,39.0,-3.0,0,0.893,-0.068,16,0.961,-0.068
Dec 12,vs. Odessa College,"W, 74-73",0,14,0,19,26.0,25.0,2.0,14.0,29-66,43.9,6-17,35.3,10-16,62.5,74.0,26-68,38.2,6-16,37.5,73.0,17,34,51,9.0,16.0,26.0,42.0,9.0,0,1.298,0.473,21,0.825,0.473
