Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 31,vs. College of Central Florida,"L, 70-56",13,10,0,8,34.0,9.0,1.0,9.0,23-64,35.9,8-25,32.0,2-4,50.0,56.0,26-61,42.6,2-11,18.2,70.0,24,25,49,-33.0,29.0,53.0,82.0,-33.0,9,1.018,0.138,34,0.881,0.138
Nov 1,at Santa Fe College,"L, 80-72",0,4,2,9,24.0,10.0,4.0,16.0,28-69,40.6,6-9,66.7,10-11,90.9,72.0,27-71,38.0,7-14,50.0,80.0,12,52,64,17.0,16.0,31.0,47.0,17.0,0,1.152,0.287,16,0.865,0.287
Nov 4,Daytona State College,"L, 61-58",4,13,0,5,27.0,10.0,4.0,15.0,18-46,39.1,8-13,61.5,14-21,66.7,58.0,25-59,42.4,5-19,26.3,61.0,13,18,31,-4.0,12.0,23.0,35.0,-4.0,2,1.221,0.473,22,0.748,0.473
Nov 8,vs. South Georgia Technical College,"L, 64-40",0,0,0,0,25.0,14.0,0.0,21.0,12-35,34.3,0-0,-,16-21,76.2,40.0,27-60,45.0,7-17,41.2,64.0,6,25,31,-19.0,19.0,31.0,50.0,-19.0,0,1.013,0.098,26,0.914,0.098
Nov 9,at Daytona State College,"L, 64-51",13,2,1,3,15.0,6.0,1.0,12.0,13-52,25.0,5-22,22.7,20-25,80.0,51.0,25-61,41.0,4-14,28.6,64.0,10,21,31,-10.0,13.0,28.0,41.0,-10.0,22,0.756,-0.115,17,0.871,-0.115
Nov 14,at College of Central Florida,"L, 73-48",14,4,4,10,36.0,14.0,4.0,20.0,16-45,35.6,5-9,55.6,7-9,77.8,48.0,28-62,45.2,3-15,20.0,73.0,13,20,33,-40.0,25.0,48.0,73.0,-40.0,0,0.950,0.071,13,0.88,0.071
Nov 15,vs. Central Georgia Technical College,"L, 70-60",9,12,0,9,26.0,14.0,1.0,12.0,22-46,47.8,2-21,9.5,14-20,70.0,60.0,22-50,44.0,4-12,33.3,70.0,21,22,43,1.0,12.0,30.0,42.0,1.0,0,1.364,0.460,15,0.903,0.46
Nov 21,vs. Hillsborough Community College,"W, 71-68",0,8,0,18,0.0,0.0,0.0,0.0,24-56,42.9,8-12,66.7,15-20,75.0,71.0,0-0,-,0-0,-,68.0,11,27,38,38.0,0.0,0.0,0.0,38.0,0,1.291,1.291,0,-,1.291
Nov 22,Gulf Coast State College,"W, 95-80",10,8,4,21,23.0,7.0,5.0,7.0,34-47,72.3,13-20,65.0,14-17,82.4,95.0,32-83,38.6,5-20,25.0,80.0,28,62,90,46.0,22.0,22.0,44.0,46.0,14,2.533,1.673,19,0.86,1.673
Nov 22,Santa Fe College,"W, 92-89",0,11,7,9,21.0,9.0,4.0,9.0,34-59,57.6,10-19,52.6,14-16,87.5,92.0,28-75,37.3,3-8,37.5,89.0,14,26,40,-60.0,37.0,63.0,100.0,-60.0,0,1.736,0.580,0,1.156,0.58
Dec 5,at Hillsborough Community College,"W, 66-58",11,8,14,13,15.0,8.0,2.0,14.0,23-49,46.9,7-12,58.3,15-19,78.9,66.0,20-41,48.8,7-12,58.3,58.0,12,35,47,-45.0,41.0,51.0,92.0,-45.0,0,1.148,-1.374,0,2.522,-1.374
Dec 12,vs. Florida State College at Jacksonville,"L, 113-49",0,0,0,0,18.0,14.0,3.0,18.0,18-74,24.3,4-13,30.8,9-17,52.9,49.0,38-65,58.5,3-6,50.0,113.0,13,29,42,-13.0,16.0,39.0,55.0,-13.0,0,0.705,-0.594,19,1.299,-0.594
Dec 13,vs. Tallahassee Community College,"L, 64-54",0,0,0,0,10.0,10.0,1.0,12.0,23-56,41.1,3-10,30.0,5-10,50.0,54.0,25-76,32.9,3-17,17.6,64.0,5,27,32,-13.0,17.0,28.0,45.0,-13.0,0,0.964,0.149,18,0.815,0.149
Dec 18,Baltimore City Community College,"W, 75-65",11,6,0,8,27.0,6.0,4.0,8.0,24-71,33.8,5-19,26.3,18-27,66.7,75.0,21-57,36.8,2-7,28.6,65.0,6,31,37,-8.0,15.0,30.0,45.0,-8.0,19,0.838,0.082,19,0.756,0.082
Dec 19,vs. University of New Brunswick,"L, 63-62",5,15,0,5,0.0,0.0,0.0,0.0,24-59,40.7,5-19,26.3,9-12,75.0,62.0,0-0,-,0-0,-,63.0,9,23,32,32.0,0.0,0.0,0.0,32.0,24,1.016,1.016,0,-,1.016
Jan 3,at St. Petersburg College,"L, 76-66",0,0,0,0,13.0,5.0,5.0,6.0,26-74,35.1,6-19,31.6,8-12,66.7,66.0,26-64,40.6,4-7,57.1,76.0,4,30,34,-13.0,15.0,32.0,47.0,-13.0,0,0.868,-0.125,0,0.993,-0.125
