Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Jan 7,at Broward College,"W, 84-68",6,21,2,9,27.0,5.0,3.0,17.0,27-74,36.5,6-18,33.3,23-30,76.7,84.0,27-71,38.0,4-9,44.4,68.0,13,27,40,-4.0,15.0,29.0,44.0,-4.0,18,1.024,0.260,22,0.764,0.26
Jan 10,Eastern Florida State College,"L, 80-68",6,4,0,7,11.0,4.0,0.0,15.0,27-75,36.0,4-23,17.4,10-15,66.7,68.0,29-79,36.7,4-25,16.0,80.0,8,28,36,-24.0,22.0,38.0,60.0,-24.0,0,0.845,-0.155,13,1,-0.155
Jan 13,Palm Beach State College,"L, 72-62",9,14,5,9,25.0,5.0,1.0,15.0,22-69,31.9,4-14,28.6,14-20,70.0,62.0,26-56,46.4,4-19,21.1,72.0,8,21,29,-21.0,15.0,35.0,50.0,-21.0,0,0.775,-0.136,14,0.911,-0.136
Jan 17,at Indian River State College,"W, 78-62",15,14,9,14,21.0,10.0,8.0,14.0,25-60,41.7,4-16,25.0,24-31,77.4,78.0,24-73,32.9,3-11,27.3,62.0,21,38,59,18.0,13.0,28.0,41.0,18.0,7,1.122,0.437,22,0.685,0.437
Jan 21,Broward College,"W, 78-57",3,21,7,16,25.0,7.0,1.0,11.0,32-79,40.5,3-7,42.9,12-20,60.0,78.0,20-50,40.0,3-8,37.5,57.0,20,37,57,23.0,9.0,25.0,34.0,23.0,0,1.083,0.362,22,0.722,0.362
Jan 24,at St. Petersburg College,"W, 84-83",10,15,3,14,12.0,7.0,2.0,7.0,30-72,41.7,7-16,43.8,17-21,81.0,84.0,27-69,39.1,7-10,70.0,83.0,13,25,38,3.0,12.0,23.0,35.0,3.0,21,1.057,0.080,0,0.976,0.08
Jan 27,at Palm Beach State College,"W, 88-62",8,24,5,16,44.0,6.0,0.0,13.0,26-80,32.5,10-16,62.5,26-28,92.9,88.0,19-59,32.2,6-24,25.0,62.0,21,19,40,-33.0,33.0,40.0,73.0,-33.0,0,1.086,0.316,20,0.77,0.316
Jan 31,at Eastern Florida State College,"L, 80-64",11,9,7,10,20.0,11.0,2.0,18.0,24-84,28.6,6-23,26.1,10-13,76.9,64.0,26-66,39.4,10-27,37.0,80.0,28,66,94,36.0,13.0,45.0,58.0,36.0,17,0.871,-0.038,21,0.909,-0.038
Feb 7,Indian River State College,"W, 78-67",2,18,3,16,26.0,12.0,3.0,13.0,29-68,42.6,4-7,57.1,16-17,94.1,78.0,25-63,39.7,2-11,18.2,67.0,11,34,45,13.0,7.0,25.0,32.0,13.0,0,1.156,0.435,11,0.72,0.435
Feb 10,at Broward College,"W, 99-80",6,18,8,19,22.0,10.0,1.0,12.0,40-83,48.2,6-11,54.5,13-17,76.5,99.0,30-56,53.6,5-14,35.7,80.0,20,20,40,-31.0,24.0,47.0,71.0,-31.0,15,1.277,0.047,16,1.231,0.047
Feb 14,Eastern Florida State College,"L, 82-71",11,0,0,0,19.0,9.0,2.0,18.0,25-76,32.9,6-10,60.0,15-19,78.9,71.0,27-58,46.6,7-20,35.0,82.0,24,60,84,37.0,15.0,32.0,47.0,37.0,18,0.979,-0.107,16,1.086,-0.107
Feb 18,Palm Beach State College,"W, 71-49",17,18,2,15,21.0,10.0,1.0,10.0,30-56,53.6,4-6,66.7,9-11,81.8,71.0,19-62,30.6,3-19,15.8,49.0,11,34,45,1.0,17.0,27.0,44.0,1.0,0,1.052,0.407,16,0.645,0.407
Feb 21,St. Petersburg College,"W, 93-92",0,24,4,6,27.0,3.0,4.0,12.0,36-73,49.3,4-8,50.0,17-20,85.0,93.0,32-81,39.5,6-13,46.2,92.0,18,35,53,4.0,14.0,35.0,49.0,4.0,5,1.431,0.613,0,0.818,0.613
Feb 24,at Indian River State College,"W, 86-63",10,8,6,8,18.0,14.0,5.0,9.0,32-65,49.2,8-13,61.5,14-18,77.8,86.0,26-80,32.5,2-15,13.3,63.0,13,40,53,22.0,12.0,19.0,31.0,22.0,0,1.211,0.541,16,0.67,0.541
Mar 4,vs. Chipola College,"L, 83-61",0,2,3,8,10.0,9.0,2.0,19.0,22-39,56.4,2-3,66.7,15-20,75.0,61.0,26-68,38.2,9-27,33.3,83.0,3,31,34,-11.0,16.0,29.0,45.0,-11.0,0,1.326,0.248,0,1.078,0.248
