Date,Opponent,Score,BC_to,BC_stl,S_ft_pct,R_reb,S_3pt,S_fg_pct
26-Jan,Palm Beach State College,"W, 79-54",0,13,67.9,37,5,45.8
30-Jan,Eastern Florida State College,"W, 72-68",9,7,52.2,52,4,34.1
6-Feb,at Indian River State College,"W, 88-70",12,18,78.8,41,10,46.4
9-Feb,Broward College,"L, 93-71",28,11,56.5,55,4,26
13-Feb,at Eastern Florida State College,"L, 110-76",11,5,73.3,47,4,27.9
15-Feb,Indian River State College,"W, 80-66",21,15,71.9,49,5,36.1
17-Feb,at Palm Beach State College,"W, 69-61",4,11,57.1,53,5,36.9
20-Feb,at St. Petersburg College,"W, 80-75",13,12,50,46,5,42.7
3-Nov,at Hillsborough Community College,"L, 84-81",20,21,64.7,55,5,40
5-Nov,at St. Petersburg College,"W, 2-0",19,15,69,39,1,47.1
8-Nov,Tallahassee Community College,"L, 111-58",41,14,53.6,42,3,26.8
11-Nov,vs. Santa Fe College,"W, 91-75",4,18,61,51,2,44.4
12-Nov,at College of Central Florida,"W, 80-79",11,22,63,50,7,44.4
18-Nov,St. Petersburg College,"L, 71-61",0,13,60,39,2,42.2
19-Nov,Florida State College at Jacksonville,"W, 57-54",6,11,83.3,27,6,52.3
23-Nov,Chipola College,"L, 85-77",7,8,58.8,47,6,45.7
30-Nov,IMG Academy,"W, 82-69",0,19,73.3,46,11,52.6
5-Dec,Hillsborough Community College,"W, 89-69",0,13,82.6,47,8,56.4
7-Dec,at IMG Academy,"W, 65-63",0,10,70.8,52,4,46.8
8-Dec,Baltimore City Community College,"L, 83-81",20,13,72.7,44,3,56.3
9-Dec,North Central Missouri College,"W, 94-85",4,11,77.4,37,8,54.5
10-Dec,Daytona State College,"L, 97-67",14,10,86.7,32,8,46
17-Dec,vs. Wake Technical Community College,"W, 93-60",1,17,88.2,51,12,60
18-Dec,vs. Wayne County Community College,"W, 89-35",0,19,81,50,7,63.5
29-Dec,vs. Daytona State College,"L, 64-53",0,7,50,20,6,30.9
30-Dec,vs. Chipola College,"L, 63-45",23,7,59.3,22,1,35.9
14-Jan,Palm Beach State College,"L, 74-65",25,12,50,51,4,34.3
17-Jan,Eastern Florida State College,"W, 86-64",13,18,41.2,46,9,44.3
21-Jan,at ASA College (Miami),"W, 94-34",4,19,78.9,64,8,49.1
25-Jan,at Broward College,"W, 65-55",3,8,72.7,51,9,48
28-Jan,Florida Southwestern State College,"L, 76-61",20,15,78.6,35,6,33.3
31-Jan,at Indian River State College,"W, 81-76",0,7,87.5,40,5,66
8-Feb,at Palm Beach State College,"L, 76-56",8,1,73.7,42,4,33.9
11-Feb,at Eastern Florida State College,"L, 83-76",23,23,43.5,31,6,45.5
14-Feb,ASA College (Miami),"W, 81-44",4,12,60,65,5,45.5
18-Feb,Broward College,"L, 78-65",14,5,68.2,48,2,38.7
22-Feb,at Florida Southwestern State College,"L, 108-100",4,8,88.9,34,8,59.4
27-Feb,Indian River State College,"W, 73-45",0,18,64.7,48,6,52.8
Oct 26 #,at Barry University,"W, 78-69",18,6,60,55,6,35.1
2-Nov,at Hillsborough Community College,"L, 87-85",25,9,50,58,8,39
3-Nov,at St. Petersburg College,"L, 85-78",25,7,51.5,61,5,24.6
4-Nov,at IMG Academy,"W, 92-87",10,10,58.6,65,5,33.3
9-Nov,vs. Eastern Florida State College,"L, 75-73",22,12,56.4,53,7,25.9
10-Nov,vs. Santa Fe College,"W, 80-76",14,10,61.5,39,10,37.5
13-Nov,IMG Academy,"W, 124-102",17,7,71.4,63,12,51
29-Nov,vs. Santa Fe College,"L, 76-63",18,9,55,40,2,37.3
2-Dec,at Florida Southwestern State College,"L, 100-80",24,9,60,46,3,44.7
7-Dec,at Florida Southwestern State College,"L, 100-85",30,12,73.7,49,3,44.2
8-Dec,vs. IMG Academy,"W, 92-88",17,10,66.7,41,8,42.4
11-Dec,North Central Missouri College,"W, 106-45",15,22,75,59,6,51.1
12-Dec,Daytona State College,"W, 81-73",16,15,69.4,35,4,38.8
13-Dec,at Eastern Florida State College,"W, 94-72",13,12,69.2,51,7,32.3
15-Dec,College of Central Florida,"W, 91-76",26,11,54.2,47,6,45.6
18-Dec,Baltimore City Community College,"W, 98-75",13,15,60,51,9,40.2
29-Dec,vs. Bryant & Stratton College (VA),"W, 82-76",14,5,66.7,38,8,40.8
30-Dec,at Daytona State College,"L, 90-80",15,4,81.8,42,7,30.3
7-Jan,Onondaga Community College,"W, 113-60",9,17,57.1,48,7,48.5
9-Jan,Palm Beach State College,"W, 92-62",16,15,59.4,72,3,37.2
12-Jan,at ASA College (Miami),"W, 73-64",0,17,67.6,52,6,31
16-Jan,Broward College,"W, 87-78",15,14,69.2,51,9,35.3
23-Jan,at Indian River State College,"W, 99-80",0,18,61.5,54,7,46.7
26-Jan,at Palm Beach State College,"W, 98-57",0,17,86.4,62,9,38
30-Jan,ASA College (Miami),"W, 101-69",4,8,81,50,6,49.4
2-Feb,at Broward College,"L, 85-73",9,7,87.5,46,3,43.8
9-Feb,Indian River State College,"W, 117-70",0,12,81,56,6,52.8
13-Feb,Palm Beach State College,"W, 97-85",0,13,85.7,43,5,52.6
16-Feb,at ASA College (Miami),"W, 68-65",0,10,55.6,36,8,35.7
20-Feb,Broward College,"W, 94-79",0,10,59.4,55,3,44.4
26-Feb,at Indian River State College,"W, 93-84",0,7,80,48,9,44.4
6-Mar,vs. Northwest Florida State College,"L, 77-57",17,6,68.8,36,8,27.9
1-Nov,at Hillsborough Community College,"W, 84-64",0,18,79.4,52,5,39.4
8-Nov,Eastern Florida State College,"L, 82-75",32,6,68,49,6,41.9
9-Nov,DME Academy,"W, 111-64",15,22,66.7,59,5,48.1
13-Nov,St. Petersburg College,"W, 83-80",16,11,64.5,55,3,37.5
15-Nov,vs. Eastern Florida State College,"W, 81-76",9,10,63.2,51,7,44.3
16-Nov,vs. Florida State College at Jacksonville,"W, 77-62",9,8,73.3,46,2,57.1
17-Nov,at Daytona State College,"W, 85-71",9,11,83.3,51,4,41.3
26-Nov,Daytona State College,"L, 78-73",16,8,84.6,43,8,39.7
2-Dec,Chipola College,"L, 74-60",19,8,75,45,1,39.3
4-Dec,Florida Southwestern State College,"L, 64-60",13,10,65.4,40,3,33.3
6-Dec,vs. Tallahassee Community College,"W, 64-58",18,8,75,50,7,48.8
7-Dec,vs. St. Petersburg College,"L, 77-76",16,9,78.3,35,4,44.3
10-Dec,North Central Missouri College,"W, 96-69",8,11,77.3,51,7,48
13-Dec,vs. Impact Academy,"W, 95-65",5,17,75,45,10,50.7
14-Dec,at Florida Southwestern State College,"L, 100-72",21,6,68.8,47,3,46
8-Jan,ASA College (Miami),"W, 77-59",12,10,75,54,6,33.7
11-Jan,at Broward College,"L, 61-51",11,10,50,63,5,23.2
15-Jan,at DME Academy,"W, 107-73",18,10,82.4,58,11,55.4
16-Jan,Impact Academy,"W, 70-64",17,8,81.5,41,10,34.5
18-Jan,Indian River State College,"W, 80-73",12,11,86.7,56,2,43.3
22-Jan,at Palm Beach State College,"L, 85-66",16,12,77.3,47,5,31
25-Jan,at ASA College (Miami),"W, 96-45",14,19,72.7,61,12,40.5
29-Jan,Broward College,"L, 74-71",18,9,84.6,51,8,38.2
1-Feb,at College of Central Florida,"W, 98-91",19,13,89.7,52,14,39.7
5-Feb,at Indian River State College,"L, 90-87",14,6,68.4,49,8,49.3
8-Feb,Palm Beach State College,"W, 74-63",11,13,77.3,54,7,43.1
12-Feb,ASA College (Miami),"W, 84-47",0,5,66.7,34,8,62.1
15-Feb,at Broward College,"W, 92-72",10,16,85.2,54,7,44.9
22-Feb,Indian River State College,"W, 92-87",0,3,75,50,3,47.7
25-Feb,at Palm Beach State College,"L, 77-62",22,10,84.6,38,7,36.7
5-Mar,at Santa Fe College,"W, 87-82",28,11,75.8,48,8,40.9
6-Mar,vs. Gulf Coast State College,"L, 71-64",23,13,47.8,43,3,39.1
23-Jan,at Eastern Florida State College,"L, 84-47",29,7,71.4,55,5,26.7
29-Jan,at Santa Fe College,"W, 95-40",0,13,65,61,8,57.8
30-Jan,at Florida State College at Jacksonville,"W, 85-68",0,4,55,51,6,56.7
6-Feb,vs. Hillsborough Community College,"L, 101-91",0,6,76.9,57,11,31.9
13-Feb,Palm Beach State College,"W, 76-56",0,14,75,45,12,56.5
17-Feb,Florida Southwestern State College,"L, 75-74",13,15,65.4,41,9,49
20-Feb,at Indian River State College,"L, 94-78",22,10,76.9,32,10,46.8
27-Feb,Morton College,"W, 60-58",11,5,80,56,10,34.8
3-Mar,at St. Petersburg College,"L, 76-68",8,9,69.2,43,9,43.1
6-Mar,at Palm Beach State College,"L, 69-54",11,11,46.7,42,3,36.7
10-Mar,at Florida Southwestern State College,"L, 62-56",0,13,100,30,5,47.9
13-Mar,Indian River State College,"L, 97-69",0,5,61.1,36,4,48.2
20-Mar,DME Academy,"W, 58-54",0,8,58.8,51,4,46.8
24-Mar,Palm Beach State College,"L, 64-60",0,0,-,0,0,-
27-Mar,Florida Southwestern State College,"W, 67-65",0,12,70.8,40,6,39.3
