Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off eff,P_net eff,OP_pf,OP_def eff,OP_net eff,Win,PointsScored,PointsGiven
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,35-79,44.3,7-27,25.9,10-26,38.5,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,25-68,36.8,5-15,33.3,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,12,29,41,-1,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,15,27,42,-1,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,20,0.888,0.206,13,0.719,0.264,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,15,0.682,0.206,1,87,60
2025-03-03,Hillsborough Community College, 87-60,15,7,2,22,9,5,2,14,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22,10,36,46,22,13,0.983,0.264,13,0.719,0.264,1,87,60
2025-03-12,vs. Chipola College, 74-70,12,12,6,15,18,7,3,20,28-88,31.8,7-32,21.9,7-12,58.3,70.0,28-75,37.3,8-25,32.0,74.0,26,31,57,-2,21,38,59,-2,18,0.875,-0.027,11,0.902,-0.027,0,74,70
