Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBCstl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off _eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Jan 12,at ASA College (Miami),"W, 73-64",0,17,1,12,24.0,8.0,2.0,15.0,22-71,31.0,6-20,30.0,23-34,67.6,73.0,24-72,33.3,9-25,36.0,64.0,18,34,52,7.0,15.0,30.0,45.0,7.0,0,1.043,0.307,28.0,0.736,0.307
Jan 16,Broward College,"W, 87-78",15,14,6,21,19.0,11.0,6.0,13.0,30-85,35.3,9-24,37.5,18-26,69.2,87.0,29-70,41.4,12-31,38.7,78.0,22,29,51,1.0,11.0,39.0,50.0,1.0,10,0.956,0.005,17.0,0.951,0.005
Jan 23,at Indian River State College,"W, 99-80",0,18,5,26,0.0,6.0,3.0,18.0,42-90,46.7,7-18,38.9,8-13,61.5,99.0,28-75,37.3,12-39,30.8,80.0,22,32,54,11.0,7.0,36.0,43.0,11.0,8,1.329,0.303,0.0,1.026,0.303
Jan 26,at Palm Beach State College,"W, 98-57",0,17,2,18,29.0,14.0,8.0,8.0,35-92,38.0,9-16,56.3,19-22,86.4,98.0,20-72,27.8,4-16,25.0,57.0,25,37,62,15.0,22.0,25.0,47.0,15.0,0,1.256,0.644,20.0,0.613,0.644
Jan 30,ASA College (Miami),"W, 101-69",4,8,4,26,15.0,4.0,0.0,8.0,39-79,49.4,6-15,40.0,17-21,81.0,101.0,23-77,29.9,4-19,21.1,69.0,17,33,50,17.0,17.0,16.0,33.0,17.0,8,1.320,0.545,15.0,0.775,0.545
Feb 2,at Broward College,"L, 85-73",9,7,3,13,20.0,10.0,7.0,11.0,28-64,43.8,3-12,25.0,14-16,87.5,73.0,26-69,37.7,16-30,53.3,85.0,18,28,46,8.0,14.0,24.0,38.0,8.0,13,1.159,0.176,17.0,0.983,0.176
Feb 9,Indian River State College,"W, 117-70",0,12,5,22,20.0,9.0,0.0,17.0,47-89,52.8,6-14,42.9,17-21,81.0,117.0,30-65,46.2,6-21,28.6,70.0,22,34,56,22.0,7.0,27.0,34.0,22.0,0,1.510,0.666,0.0,0.843,0.666
Feb 13,Palm Beach State College,"W, 97-85",0,13,4,17,20.0,14.0,4.0,22.0,40-76,52.6,5-14,35.7,12-14,85.7,97.0,35-76,46.1,5-17,29.4,85.0,10,33,43,13.0,7.0,23.0,30.0,13.0,0,1.329,0.461,15.0,0.867,0.461
Feb 16,at ASA College (Miami),"W, 68-65",0,10,6,4,12.0,2.0,5.0,19.0,25-70,35.7,8-22,36.4,10-18,55.6,68.0,25-53,47.2,8-18,44.4,65.0,19,17,36,5.0,11.0,20.0,31.0,5.0,0,1.133,0.050,15.0,1.083,0.05
Feb 20,Broward College,"W, 94-79",0,10,2,18,18.0,5.0,6.0,16.0,36-81,44.4,3-19,15.8,19-32,59.4,94.0,29-72,40.3,8-33,24.2,79.0,23,32,55,13.0,12.0,30.0,42.0,13.0,0,1.270,0.378,25.0,0.893,0.378
Feb 26,at Indian River State College,"W, 93-84",0,7,5,18,21.0,16.0,0.0,17.0,32-72,44.4,9-20,45.0,20-25,80.0,93.0,33-74,44.6,6-16,37.5,84.0,15,33,48,13.0,7.0,28.0,35.0,13.0,0,1.338,0.468,0.0,0.87,0.468
Mar 6,vs. Northwest Florida State College,"L, 77-57",17,6,2,10,19.0,11.0,2.0,26.0,19-68,27.9,8-20,40.0,11-16,68.8,57.0,28-68,41.2,6-23,26.1,77.0,14,22,36,-18.0,19.0,35.0,54.0,-18.0,0,0.722,-0.266,15.0,0.987,-0.266
