Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff,,,,,,,,,
Sep 18 #,NCAA D1 Practice Tour,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Oct 13 #,at St. Thomas University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Nov 1 #,Florida National University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Nov 6 #,at Palm Beach Atlantic University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
25-Jan,Indian River State College,"L, 60-51",19,10,3,12,19.0,8.0,1.0,11.0,19-58,32.8,3-19,15.8,10-14,71.4,51.0,21-60,35.0,4-28,14.3,60.0,11,21,32,-11.0,13.0,30.0,43.0,-11.0,17,0.699,-0.096,11.0,0.795,-0.096,,,,,,,,,
27-Jan,at Florida Southwestern State College,"L, 44-39",13,10,2,5,13.0,6.0,3.0,7.0,11-53,20.8,6-19,31.6,11-16,68.8,39.0,15-66,22.7,6-30,20.0,44.0,6,36,42,-13.0,17.0,38.0,55.0,-13.0,13,0.574,-0.069,12.0,0.642,-0.069,,,,,,,,,
30-Jan,Santa Fe College,"L, 76-66",14,8,1,9,16.0,6.0,0.0,18.0,20-76,26.3,11-50,22.0,15-17,88.2,66.0,30-74,40.5,5-27,18.5,76.0,16,26,42,-12.0,14.0,40.0,54.0,-12.0,11,0.800,-0.110,0.0,0.910,-0.110,,,,,,,,,
31-Jan,at Santa Fe College,"W, 87-71",10,17,6,8,20.0,5.0,3.0,16.0,35-75,46.7,10-28,35.7,7-9,77.8,87.0,24-72,33.3,14-31,45.2,71.0,9,30,39,4.0,13.0,22.0,35.0,4.0,10,1.081,0.241,0.0,0.840,0.241,,,,,,,,,
3-Feb,Hillsborough Community College,"L, 90-88",20,9,2,18,14.0,11.0,0.0,15.0,28-64,43.8,12-33,36.4,20-25,80.0,88.0,36-70,51.4,7-17,41.2,90.0,15,20,35,2.0,12.0,21.0,33.0,2.0,14,1.080,-0.052,16.0,1.132,-0.052,,,,,,,,,
7-Feb,Palm Beach State College,"L, 75-72",11,12,3,11,18.0,7.0,3.0,20.0,30-66,45.5,3-19,15.8,9-16,56.3,72.0,28-71,39.4,8-23,34.8,75.0,11,22,33,-8.0,15.0,26.0,41.0,-8.0,17,0.973,0.030,11.0,0.943,0.030,,,,,,,,,
10-Feb,at Indian River State College,"L, 75-74",13,6,1,17,15.0,10.0,0.0,15.0,29-59,49.2,9-17,52.9,7-12,58.3,74.0,31-74,41.9,6-24,25.0,75.0,5,22,27,-15.0,18.0,24.0,42.0,-15.0,7,1.014,0.007,0.0,1.007,0.007,,,,,,,,,
13-Feb,at Daytona State College,"L, 77-65",14,7,5,14,11.0,11.0,7.0,18.0,27-67,40.3,6-23,26.1,5-11,45.5,65.0,31-82,37.8,9-16,56.3,77.0,11,29,40,-16.0,23.0,33.0,56.0,-16.0,11,0.861,-0.166,9.0,1.027,-0.166,,,,,,,,,
15-Feb,at Hillsborough Community College,"L, 78-55",12,0,3,4,10.0,8.0,3.0,21.0,21-67,31.3,2-20,10.0,11-17,64.7,55.0,28-68,41.2,9-25,36.0,78.0,13,22,35,-1.0,11.0,25.0,36.0,-1.0,17,0.738,-0.275,15.0,1.013,-0.275,,,,,,,,,
17-Feb,St. Petersburg College,"W, 102-60",12,23,3,22,28.0,8.0,1.0,12.0,33-73,45.2,8-15,53.3,28-35,80.0,102.0,24-61,39.3,0-9,0.0,60.0,18,22,40,8.0,9.0,23.0,32.0,8.0,16,1.207,0.533,24.0,0.674,0.533,,,,,,,,,
21-Feb,at Palm Beach State College,"W, 73-61",0,11,2,6,18.0,6.0,10.0,19.0,29-52,55.8,6-12,50.0,9-17,52.9,73.0,21-63,33.3,7-20,35.0,61.0,10,12,22,-11.0,11.0,22.0,33.0,-11.0,0,1.446,0.658,16.0,0.787,0.658,,,,,,,,,
24-Feb,at Eastern Florida State College,"L, 93-65",0,1,3,3,14.0,15.0,8.0,28.0,23-44,52.3,4-10,40.0,15-23,65.2,65.0,34-67,50.7,11-28,39.3,93.0,2,21,23,-31.0,25.0,29.0,54.0,-31.0,0,1.215,-0.227,13.0,1.442,-0.227,,,,,,,,,
28-Feb,Florida Southwestern State College,"L, 81-68",18,9,4,11,15.0,9.0,1.0,12.0,23-58,39.7,10-26,38.5,12-21,57.1,68.0,23-58,39.7,7-24,29.2,81.0,11,18,29,-14.0,15.0,28.0,43.0,-14.0,31,0.901,-0.125,17.0,1.025,-0.125,,,,,,,,,
2-Mar,Santa Fe College,"L, 70-53",0,0,0,3,25.0,5.0,3.0,11.0,15-58,25.9,7-33,21.2,17-22,77.3,53.0,22-60,36.7,8-24,33.3,70.0,17,24,41,-15.0,10.0,46.0,56.0,-15.0,0,1.019,0.205,16.0,0.814,0.205,,,,,,,,,
4-Mar,at Hillsborough Community College,"L, 69-63",18,13,3,7,26.0,16.0,7.0,13.0,21-80,26.3,9-30,30.0,12-20,60.0,63.0,25-71,35.2,6-32,18.8,69.0,14,21,35,-11.0,16.0,30.0,46.0,-11.0,11,0.670,-0.084,16.0,0.754,-0.084,,,,,,,,,
