Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 18 #,Florida National University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26 #,Nova Southeastern University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 29 #,She Hoops Elite Semi-Pro Women,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 1,at Palm Beach State College,"L, 69-64",25,21,4,11,28.0,15.0,2.0,12.0,24-67,35.8,5-22,22.7,11-23,47.8,64.0,26-59,44.1,5-13,38.5,69.0,19,26,45,18.0,3,24,27,18,28,0.757,0.031,17,0.726,0.031
Nov 4,at St. Petersburg College,"L, 73-71",0,8,4,12,21.0,11.0,0.0,12.0,26-58,44.8,8-22,36.4,11-22,50.0,71.0,28-67,41.8,5-10,50.0,73.0,12,27,39,5.0,11,23,34,5,0,1.246,0.421,22,0.825,0.421
Nov 5,at Daytona State College,"W, 63-49",0,11,6,13,15.0,9.0,3.0,2.0,22-50,44.0,3-10,30.0,16-24,66.7,63.0,14-57,24.6,1-8,12.5,49.0,8,31,39,18.0,5,16,21,18,0,1.167,0.565,0,0.601,0.565
Nov 8,Eastern Florida State College,"L, 86-42",0,9,1,5,19.0,16.0,0.0,25.0,15-51,29.4,4-10,40.0,8-14,57.1,42.0,35-74,47.3,3-19,15.8,86.0,11,18,29,-23.0,16,36,52,-23,0,0.894,-0.112,9,1.006,-0.112
Nov 11,vs. College of Southern Idaho,"L, 73-57",5,9,0,6,16.0,12.0,10.0,17.0,22-59,37.3,5-15,33.3,8-12,66.7,57.0,28-69,40.6,5-20,25.0,73.0,28,21,49,-1.0,18,32,50,-1,0,1.357,0.371,14,0.986,0.371
Nov 12,Pensacola State College,"L, 67-45",17,6,5,9,11.0,20.0,3.0,19.0,15-42,35.7,2-6,33.3,13-20,65.0,45.0,24-83,28.9,3-18,16.7,67.0,14,36,50,-2.0,29,23,52,-2,0,0.818,-0.052,15,0.87,-0.052
Nov 13,vs. John A. Logan College,"L, 85-78",6,9,0,17,19.0,16.0,0.0,7.0,30-49,61.2,7-14,50.0,11-17,64.7,78.0,29-61,47.5,2-9,22.2,85.0,14,24,38,-2.0,9,31,40,-2,0,1.576,0.626,17,0.95,0.626
Nov 18,at Santa Fe College,"L, 85-78",0,8,3,14,18.0,8.0,3.0,23.0,29-53,54.7,7-24,29.2,13-21,61.9,78.0,31-83,37.3,9-20,45.0,85.0,14,26,40,-8.0,26,22,48,-8,0,1.576,0.564,20,1.012,0.564
Nov 19,vs. Eastern Florida State College,"L, 95-43",0,7,4,3,16.0,15.0,7.0,30.0,13-45,28.9,3-14,21.4,14-18,77.8,43.0,37-68,54.4,11-24,45.8,95.0,13,17,30,-17.0,18,29,47,-17,0,1.049,-0.235,12,1.284,-0.235
Nov 30,Palm Beach State College,"L, 90-63",0,16,1,0,25.0,5.0,9.0,25.0,24-58,41.4,3-8,37.5,12-16,75.0,63.0,34-61,55.7,7-16,43.8,90.0,23,11,34,-13.0,14,33,47,-13,0,1.465,0.387,12,1.078,0.387
Dec 2,at Daytona State College,"L, 71-53",26,11,5,8,18.0,15.0,3.0,16.0,19-56,33.9,3-18,16.7,12-21,57.1,53.0,25-70,35.7,12-24,50.0,71.0,13,35,48,4.0,15,29,44,4,17,0.667,-0.204,19,0.871,-0.204
Dec 3,vs. Northwest Florida State College,"L, 71-45",26,11,1,9,20.0,18.0,1.0,9.0,17-57,29.8,3-14,21.4,8-15,53.3,45.0,28-54,51.9,2-12,16.7,71.0,14,21,35,-1.0,7,29,36,-1,19,0.588,-0.358,14,0.947,-0.358
Dec 7,at Eastern Florida State College,"L, 107-31",23,2,1,5,12.0,14.0,17.0,22.0,14-36,38.9,3-7,42.9,0-0,-,31.0,42-84,50.0,12-25,48.0,107.0,1,8,9,-43.0,23,29,52,-43,10,0.534,-0.811,9,1.346,-0.811
Dec 9,vs. Daytona State College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dec 10,vs. Chipola College,"W, 83-79",13,7,0,17,11.0,13.0,2.0,19.0,31-69,44.9,6-12,50.0,15-20,75.0,83.0,28-73,38.4,14-49,28.6,79.0,21,33,54,19.0,13,22,35,19,0,1.169,0.15,18,1.019,0.15
Dec 11,vs. Denmark Technical College,"W, 87-69",6,11,7,22,22.0,15.0,7.0,13.0,33-69,47.8,9-27,33.3,12-18,66.7,87.0,24-81,29.6,6-24,25.0,69.0,18,34,52,-2.0,19,35,54,-2,0,1.318,0.592,12,0.726,0.592
Dec 14,Johnson County Community College,"L, 78-54",0,12,6,7,21.0,13.0,0.0,15.0,20-59,33.9,2-17,11.8,12-25,48.0,54.0,32-62,51.6,3-13,23.1,78.0,6,23,29,-25.0,11,43,54,-25,0,0.824,-0.151,16,0.975,-0.151
Dec 16,St. Petersburg College,"L, 87-71",17,7,0,12,19.0,16.0,0.0,18.0,27-57,47.4,6-22,27.3,11-15,73.3,71.0,37-75,49.3,4-13,30.8,87.0,18,27,45,5.0,14,26,40,5,0,1.118,0.112,12,1.006,0.112
Dec 17,Morton College,"L, 99-51",0,5,0,10,14.0,10.0,0.0,28.0,19-51,37.3,6-23,26.1,7-10,70.0,51.0,35-63,55.6,15-38,39.5,99.0,8,15,23,-20.0,11,32,43,-20,0,1.063,-0.266,9,1.329,-0.266
Jan 7,Hillsborough Community College,"W, 76-70",2,5,0,3,13.0,11.0,1.0,17.0,25-54,46.3,11-25,44.0,15-22,68.2,76.0,28-89,31.5,7-43,16.3,70.0,20,34,54,3.0,20,31,51,3,0,1.617,0.808,19,0.809,0.808
