Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Jan 8,Montgomery College (MD),"L, 92-87",0,4,0,14,19.0,22.0,0.0,20.0,26-54,48.1,8-21,38.1,27-32,84.4,87.0,36-76,47.4,8-21,38.1,92.0,23,25,48,16.0,14,18,32,16,0,1.851,0.823,24,1.028,0.823
Jan 11,Florida Southwestern State College,"L, 73-51",0,6,0,4,21.0,10.0,10.0,18.0,20-45,44.4,7-20,35.0,4-5,80.0,51.0,28-63,44.4,6-19,31.6,73.0,11,25,36,-12.0,12,36,48,-12,0,1.397,0.49,9,0.907,0.49
Jan 14,at Indian River State College,"L, 102-58",0,3,1,8,12.0,15.0,0.0,18.0,26-53,49.1,4-6,66.7,2-2,100.0,58.0,36-74,48.6,12-26,46.2,102.0,12,24,36,5.0,11,20,31,5,0,1.381,0.188,0,1.193,0.188
Jan 25,at Hillsborough Community College,"W, 81-66",0,5,4,14,13.0,10.0,2.0,12.0,31-56,55.4,6-13,46.2,13-19,68.4,81.0,21-69,30.4,2-26,7.7,66.0,20,38,58,22.0,9,27,36,22,0,1.78,1.026,14,0.754,1.026
Jan 28,at Florida Southwestern State College,"L, 90-62",18,4,1,11,16.0,12.0,4.0,19.0,24-42,57.1,9-16,56.3,5-6,83.3,62.0,35-63,55.6,7-17,41.2,90.0,10,19,29,-12.0,11,30,41,-12,0,1.17,-0.007,8,1.176,-0.007
Feb 1,Indian River State College,"L, 96-64",0,3,0,12,19.0,10.0,3.0,15.0,24-54,44.4,8-19,42.1,10-17,58.8,64.0,34-63,54.0,6-16,37.5,96.0,15,17,32,-5.0,8,29,37,-5,0,1.347,0.25,0,1.097,0.25
Feb 9,Hillsborough Community College,"L, 75-52",0,7,2,17,15.0,16.0,2.0,20.0,18-42,42.9,9-29,31.0,7-10,70.0,52.0,28-63,44.4,6-16,37.5,75.0,10,28,38,-9.0,19,28,47,-9,0,1.405,0.294,10,1.111,0.294
Feb 13,Florida Southwestern State College,"L, 76-58",21,5,0,12,16.0,9.0,1.0,13.0,19-34,55.9,11-19,57.9,9-9,100.0,58.0,28-66,42.4,7-21,33.3,76.0,6,32,38,-4.0,13,29,42,-4,0,1.084,0.116,15,0.968,0.116
Feb 16,at Indian River State College,"L, 92-34",0,1,3,2,8.0,7.0,6.0,22.0,14-35,40.0,0-0,-,6-8,75.0,34.0,34-73,46.6,9-22,40.9,92.0,8,24,32,-28.0,13,47,60,-28,0,1.097,-0.068,0,1.165,-0.068
Feb 28 #,DME Academy,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
