Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Nov 17,at Daytona State College,"W, 85-71",9,11,4,21,14.0,5.0,4.0,17.0,33-80,41.3,4-13,30.8,15-18,83.3,85.0,23-69,33.3,7-27,25.9,71.0,24,27,51,23.0,12.0,16.0,28.0,23.0,16,1.149,0.288,16,0.861,0.288
Nov 26,Daytona State College,"L, 78-73",16,8,6,15,20.0,12.0,1.0,19.0,27-68,39.7,8-22,36.4,11-13,84.6,73.0,27-56,48.2,7-19,36.8,78.0,20,23,43,9.0,13.0,21.0,34.0,9.0,11,1.035,0.029,16,1.006,0.029
Dec 2,Chipola College,"L, 74-60",19,8,3,10,17.0,20.0,8.0,16.0,22-56,39.3,1-3,33.3,15-20,75.0,60.0,27-62,43.5,15-30,50.0,74.0,14,31,45,9.0,14.0,22.0,36.0,9.0,13,0.845,-0.22,20,1.065,-0.22
Dec 4,Florida Southwestern State College,"L, 64-60",13,10,8,3,23.0,14.0,11.0,10.0,20-60,33.3,3-14,21.4,17-26,65.4,60.0,25-77,32.5,0-12,0.0,64.0,14,26,40,-26.0,24.0,42.0,66.0,-26.0,14,0.833,0.102,22,0.731,0.102
Dec 6,vs. Tallahassee Community College,"W, 64-58",18,8,6,10,15.0,9.0,1.0,15.0,21-43,48.8,7-16,43.8,15-20,75.0,64.0,18-67,26.9,7-30,23.3,58.0,12,38,50,4.0,20.0,26.0,46.0,4.0,16,1.085,0.311,13,0.773,0.311
Dec 7,vs. St. Petersburg College,"L, 77-76",16,9,7,15,14.0,12.0,2.0,22.0,27-61,44.3,4-10,40.0,18-23,78.3,76.0,32-74,43.2,1-10,10.0,77.0,8,27,35,-17.0,22.0,30.0,52.0,-17.0,9,0.944,-0.062,19,1.007,-0.062
Dec 10,North Central Missouri College,"W, 96-69",8,11,7,17,16.0,4.0,2.0,17.0,36-75,48.0,7-21,33.3,17-22,77.3,96.0,21-63,33.3,9-29,31.0,69.0,25,26,51,14.0,14.0,23.0,37.0,14.0,17,1.391,0.518,16,0.873,0.518
Dec 13,vs. Impact Academy,"W, 95-65",5,17,7,18,0.0,0.0,0.0,0.0,35-69,50.7,10-21,47.6,15-20,75.0,95.0,0-0,-,0-0,-,65.0,15,30,45,45.0,0.0,0.0,0.0,45.0,8,1.377,1.377,0,-,1.377
Dec 14,at Florida Southwestern State College,"L, 100-72",21,6,8,11,17.0,22.0,7.0,23.0,29-63,46.0,3-12,25.0,11-16,68.8,72.0,36-88,40.9,11-23,47.8,100.0,18,29,47,-10.0,19.0,38.0,57.0,-10.0,20,0.973,-0.08,15,1.053,-0.08
Jan 8,ASA College (Miami),"W, 77-59",12,10,5,17,15.0,8.0,6.0,3.0,29-86,33.7,6-23,26.1,12-16,75.0,77.0,20-66,30.3,11-29,37.9,59.0,22,32,54,27.0,9.0,18.0,27.0,27.0,0,0.917,0.16,13,0.756,0.16
Jan 11,at Broward College,"L, 61-51",11,10,10,8,17.0,9.0,11.0,13.0,16-69,23.2,5-31,16.1,14-28,50.0,51.0,21-64,32.8,9-26,34.6,61.0,30,33,63,11.0,14.0,38.0,52.0,11.0,12,0.797,-0.016,17,0.813,-0.016
Jan 15,at DME Academy,"W, 107-73",18,10,5,19,0.0,0.0,0.0,0.0,41-74,55.4,11-18,61.1,14-17,82.4,107.0,0-0,-,0-0,-,73.0,23,35,58,58.0,0.0,0.0,0.0,58.0,17,1.381,1.381,0,-,1.381
Jan 16,Impact Academy,"W, 70-64",17,8,6,13,0.0,0.0,0.0,0.0,19-55,34.5,10-20,50.0,22-27,81.5,70.0,0-0,-,0-0,-,64.0,9,32,41,41.0,0.0,0.0,0.0,41.0,10,0.915,0.915,0,-,0.915
Jan 18,Indian River State College,"W, 80-73",12,11,9,8,15.0,11.0,4.0,8.0,26-60,43.3,2-12,16.7,26-30,86.7,80.0,26-84,31.0,4-36,11.1,73.0,17,39,56,16.0,24.0,16.0,40.0,16.0,18,1.143,0.313,0,0.83,0.313
Jan 22,at Palm Beach State College,"L, 85-66",16,12,2,6,16.0,10.0,9.0,17.0,22-71,31.0,5-16,31.3,17-22,77.3,66.0,29-67,43.3,10-26,38.5,85.0,20,27,47,2.0,14.0,31.0,45.0,2.0,19,0.846,-0.197,17,1.043,-0.197
Jan 25,at ASA College (Miami),"W, 96-45",14,19,7,20,29.0,4.0,3.0,13.0,34-84,40.5,12-32,37.5,16-22,72.7,96.0,15-59,25.4,7-34,20.6,45.0,27,34,61,23.0,12.0,26.0,38.0,23.0,13,1.171,0.635,13,0.536,0.635
Jan 29,Broward College,"L, 74-71",18,9,2,12,0.0,0.0,0.0,0.0,26-68,38.2,8-25,32.0,11-13,84.6,71.0,0-0,-,0-0,-,74.0,26,25,51,51.0,0.0,0.0,0.0,51.0,7,1.068,1.068,0,-,1.068
Feb 1,at College of Central Florida,"W, 98-91",19,13,5,21,20.0,8.0,4.0,24.0,29-73,39.7,14-28,50.0,26-29,89.7,98.0,32-98,32.7,12-40,30.0,91.0,23,29,52,-6.0,39.0,19.0,58.0,-6.0,22,1.174,0.185,24,0.989,0.185
Feb 5,at Indian River State College,"L, 90-87",14,6,7,15,13.0,9.0,1.0,18.0,33-67,49.3,8-17,47.1,13-19,68.4,87.0,29-82,35.4,9-26,34.6,90.0,20,29,49,7.0,19.0,23.0,42.0,7.0,22,1.234,0.245,0,0.989,0.245
Feb 8,Palm Beach State College,"W, 74-63",11,13,10,13,19.0,6.0,6.0,15.0,25-58,43.1,7-19,36.8,17-22,77.3,74.0,22-74,29.7,10-31,32.3,63.0,21,33,54,8.0,17.0,29.0,46.0,8.0,6,1.254,0.481,15,0.773,0.481
Feb 12,ASA College (Miami),"W, 84-47",0,5,1,11,22.0,10.0,4.0,7.0,36-58,62.1,8-16,50.0,4-6,66.7,84.0,19-64,29.7,3-23,13.0,47.0,8,26,34,-1.0,7.0,28.0,35.0,-1.0,5,1.585,1.042,7,0.543,1.042
Feb 15,at Broward College,"W, 92-72",10,16,1,19,21.0,7.0,1.0,15.0,31-69,44.9,7-20,35.0,23-27,85.2,92.0,26-57,45.6,8-18,44.4,72.0,28,26,54,39.0,2.0,13.0,15.0,39.0,12,1.426,0.532,18,0.894,0.532
Feb 22,Indian River State College,"W, 92-87",0,3,2,19,12.0,12.0,0.0,0.0,31-65,47.7,3-4,75.0,27-36,75.0,92.0,26-79,32.9,13-34,38.2,87.0,15,35,50,18.0,15.0,17.0,32.0,18.0,5,1.353,0.392,0,0.961,0.392
Feb 25,at Palm Beach State College,"L, 77-62",22,10,0,13,16.0,13.0,4.0,13.0,22-60,36.7,7-21,33.3,11-13,84.6,62.0,27-81,33.3,9-27,33.3,77.0,8,30,38,-21.0,25.0,34.0,59.0,-21.0,18,0.77,-0.175,13,0.945,-0.175
Mar 5,at Santa Fe College,"W, 87-82",28,11,11,14,24.0,19.0,4.0,18.0,27-66,40.9,8-23,34.8,25-33,75.8,87.0,31-81,38.3,6-25,24.0,82.0,21,27,48,3.0,25.0,20.0,45.0,3.0,15,0.972,0.066,26,0.906,0.066
Mar 6,vs. Gulf Coast State College,"L, 71-64",23,13,4,9,21.0,12.0,1.0,9.0,25-64,39.1,3-23,13.0,11-23,47.8,64.0,23-70,32.9,4-27,14.8,71.0,15,28,43,-9.0,21.0,31.0,52.0,-9.0,22,0.766,-0.069,18,0.835,-0.069
