Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 5,She Hoops Elite,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 14,South Eastern University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 17,vs. Chicago National Juco Jamboree,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 18 #,at Dyersburg State Community College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26,at Barry University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 1,at Hillsborough Community College,"W, 84-64",0,18,7,11,25.0,9.0,0.0,8.0,26-66,39.4,5-10,50.0,27-34,79.4,84.0,20-73,27.4,9-36,25.0,64.0,15,37,52,23.0,13.0,16.0,29.0,23.0,0,1.235,0.576,25,0.66,0.576
Nov 8,Eastern Florida State College,"L, 82-75",32,6,4,15,19.0,17.0,6.0,15.0,26-62,41.9,6-19,31.6,17-25,68.0,75.0,31-83,37.3,5-20,25.0,82.0,16,33,49,16.0,12.0,21.0,33.0,16.0,22,0.829,0.025,24,0.804,0.025
Nov 9,DME Academy,"W, 111-64",15,22,8,16,0.0,0.0,0.0,0.0,39-81,48.1,5-11,45.5,28-42,66.7,111.0,0-0,-,0-0,-,64.0,21,38,59,59.0,0.0,0.0,0.0,59.0,24,1.156,1.156,0,-,1.156
Nov 13,St. Petersburg College,"W, 83-80",16,11,2,20,15.0,5.0,0.0,16.0,30-80,37.5,3-13,23.1,20-31,64.5,83.0,32-74,43.2,2-9,22.2,80.0,23,32,55,13.0,14.0,28.0,42.0,13.0,17,0.938,-0.015,22,0.952,-0.015
Nov 15,vs. Eastern Florida State College,"W, 81-76",9,10,9,20,19.0,13.0,5.0,15.0,31-70,44.3,7-14,50.0,12-19,63.2,81.0,25-66,37.9,7-19,36.8,76.0,12,39,51,18.0,10.0,23.0,33.0,18.0,14,1.059,0.219,17,0.84,0.219
Nov 16,vs. Florida State College at Jacksonville,"W, 77-62",9,8,4,15,8.0,7.0,1.0,15.0,32-56,57.1,2-5,40.0,11-15,73.3,77.0,25-60,41.7,7-22,31.8,62.0,20,26,46,17.0,13.0,16.0,29.0,17.0,0,1.467,0.416,12,1.051,0.416
