Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 15 #,at St. Thomas University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19 #,at Barry University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jan 22,at Eastern Florida State College,"L, 82-68",22,7,0,10,17.0,13.0,1.0,22.0,28-65,43.1,8-24,33.3,4-8,50.0,68.0,34-70,48.6,6-18,33.3,82.0,10,28,38,-5.0,13.0,30.0,43.0,-5,13,0.84,-0.167,13,1.006,-0.167
Jan 25,Florida Southwestern State College,"W, 77-51",12,15,1,19,22.0,5.0,6.0,14.0,32-79,40.5,5-23,21.7,8-11,72.7,77.0,19-65,29.2,5-22,22.7,51.0,15,32,47,2.0,13.0,32.0,45.0,2,12,0.945,0.299,12,0.646,0.299
Feb 1,at Hillsborough Community College,"L, 105-100",26,11,5,20,21.0,15.0,2.0,29.0,39-103,37.9,10-28,35.7,12-18,66.7,100.0,37-101,36.6,16-56,28.6,105.0,27,39,66,16.0,22.0,28.0,50.0,16,16,0.901,-0.067,16,0.968,-0.067
Feb 5,at Palm Beach State College,"W, 87-60",18,8,7,22,28.0,13.0,2.0,22.0,35-79,44.3,7-27,25.9,10-26,38.5,87.0,25-68,36.8,5-15,33.3,60.0,12,29,41,-1.0,15.0,27.0,42.0,-1,20,0.888,0.206,15,0.682,0.206
Feb 12,Daytona State College,"W, 78-69",13,12,1,13,21.0,4.0,3.0,15.0,31-78,39.7,6-22,27.3,10-17,58.8,78.0,25-70,35.7,7-25,28.0,69.0,19,31,50,4.0,15.0,31.0,46.0,4,16,0.969,0.138,18,0.831,0.138
Feb 15,at St. Petersburg College,"W, 78-66",16,7,3,14,10.0,6.0,3.0,12.0,26-77,33.8,5-16,31.3,21-32,65.6,78.0,26-63,41.3,1-10,10.0,66.0,15,28,43,18.0,8.0,17.0,25.0,18,17,0.83,-0.062,17,0.892,-0.062
Feb 19,Palm Beach State College,"W, 90-69",23,18,5,23,22.0,10.0,2.0,20.0,38-70,54.3,3-15,20.0,11-14,78.6,90.0,29-74,39.2,6-16,37.5,69.0,13,31,44,10.0,14.0,20.0,34.0,10,14,1.034,0.232,11,0.802,0.232
Feb 22,Eastern Florida State College,"W, 89-88",14,11,3,17,19.0,7.0,2.0,19.0,27-79,34.2,6-22,27.3,29-39,74.4,89.0,35-72,48.6,5-15,33.3,88.0,21,27,48,-4.0,16.0,36.0,52.0,-4,22,0.973,-0.051,29,1.023,-0.051
Feb 26,at Florida Southwestern State College,"L, 74-60",12,8,2,7,14.0,10.0,1.0,23.0,26-63,41.3,2-12,16.7,6-8,75.0,60.0,27-66,40.9,11-24,45.8,74.0,10,24,34,-11.0,18.0,27.0,45.0,-11,14,0.87,-0.203,13,1.072,-0.203
Mar 1,at Santa Fe College,"W, 80-56",18,20,10,15,31.0,12.0,11.0,14.0,33-83,39.8,5-21,23.8,9-18,50.0,80.0,18-65,27.7,5-25,20.0,56.0,19,15,34,-18.0,24.0,28.0,52.0,-18,18,0.879,0.204,17,0.675,0.204
Mar 3,Hillsborough Community College,"W, 87-60",15,7,2,22,9.0,5.0,2.0,14.0,32-87,36.8,11-32,34.4,12-17,70.6,87.0,24-80,30.0,6-37,16.2,60.0,22,46,68,22.0,10.0,36.0,46.0,22,13,0.983,0.264,13,0.719,0.264
Mar 12,vs. Chipola College,"L, 74-70",12,12,6,15,18.0,7.0,3.0,20.0,28-88,31.8,7-32,21.9,7-12,58.3,70.0,28-75,37.3,8-25,32.0,74.0,26,31,57,-2.0,21.0,38.0,59.0,-2,18,0.875,-0.027,11,0.902,-0.027
