Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 17,vs. DME Academy,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dec 14 #,Florida National University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jan 23,at Eastern Florida State College,"L, 84-47",29,7,4,7,17.0,26.0,4.0,21.0,16-60,26.7,5-30,16.7,10-14,71.4,47.0,33-75,44.0,9-27,33.3,84.0,22,33,55,17.0,11.0,27,38,17,19,0.635,-0.283,17,0.918,-0.283
Jan 29,at Santa Fe College,"W, 95-40",0,13,10,23,25.0,9.0,4.0,8.0,37-64,57.8,8-20,40.0,13-20,65.0,95.0,13-76,17.1,6-31,19.4,40.0,19,42,61,28.0,13.0,20,33,28,0,1.727,1.292,12,0.435,1.292
Jan 30,at Florida State College at Jacksonville,"W, 85-68",0,4,5,14,14.0,10.0,2.0,20.0,34-60,56.7,6-16,37.5,11-20,55.0,85.0,23-67,34.3,7-26,26.9,68.0,15,36,51,15.0,10.0,26,36,15,0,1.545,0.706,0,0.84,0.706
Feb 3,at Daytona State College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Feb 5,Santa Fe College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Feb 6,vs. Hillsborough Community College,"L, 101-91",0,6,1,14,24.0,11.0,0.0,21.0,30-94,31.9,11-29,37.9,20-26,76.9,91.0,32-71,45.1,16-33,48.5,101.0,21,36,57,25.0,5.0,27,32,25,24,1.058,0.087,23,0.971,0.087
Feb 13,Palm Beach State College,"W, 76-56",0,14,6,10,26.0,8.0,3.0,15.0,26-46,56.5,12-25,48.0,12-16,75.0,76.0,18-60,30.0,7-25,28.0,56.0,18,27,45,6.0,13.0,26,39,6,0,2.111,1.436,13,0.675,1.436
Feb 17,Florida Southwestern State College,"L, 75-74",13,15,3,10,23.0,11.0,3.0,20.0,24-49,49.0,9-32,28.1,17-26,65.4,74.0,28-66,42.4,11-26,42.3,75.0,17,24,41,-4.0,15.0,30,45,-4,5,1.276,0.356,26,0.92,0.356
Feb 20,at Indian River State College,"L, 94-78",22,10,0,17,19.0,15.0,3.0,20.0,29-62,46.8,10-22,45.5,10-13,76.9,78.0,34-72,47.2,7-25,28.0,94.0,9,23,32,-3.0,16.0,19,35,-3,20,0.957,-0.13,0,1.087,-0.13
Feb 22,Daytona State College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Feb 27,Morton College,"W, 60-58",11,5,0,12,19.0,16.0,2.0,13.0,23-66,34.8,10-27,37.0,4-5,80.0,60.0,20-70,28.6,13-47,27.7,58.0,18,38,56,15.0,12.0,29,41,15,10,0.976,0.277,11,0.699,0.277
Mar 1,at Eastern Florida State College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 3,at St. Petersburg College,"L, 76-68",8,9,9,9,19.0,9.0,2.0,22.0,25-58,43.1,9-29,31.0,9-13,69.2,68.0,32-80,40.0,3-10,30.0,76.0,16,27,43,-3.0,19.0,27,46,-3,2,1.204,0.335,11,0.869,0.335
Mar 6,at Palm Beach State College,"L, 69-54",11,11,5,10,17.0,13.0,3.0,17.0,22-60,36.7,3-24,12.5,7-15,46.7,54.0,27-64,42.2,8-22,36.4,69.0,12,30,42,6.0,12.0,24,36,6,0,0.812,-0.133,15,0.945,-0.133
Mar 8,DME Academy,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mar 10,at Florida Southwestern State College,"L, 62-56",0,13,2,10,22.0,22.0,8.0,16.0,23-48,47.9,5-14,35.7,5-5,100.0,56.0,22-66,33.3,3-14,21.4,62.0,11,19,30,-18.0,18.0,30,48,-18,0,1.418,0.643,10,0.775,0.643
Mar 13,Indian River State College,"L, 97-69",0,5,4,6,16.0,15.0,2.0,16.0,27-56,48.2,4-15,26.7,11-18,61.1,69.0,35-77,45.5,13-25,52.0,97.0,14,22,36,-4.0,14.0,26,40,-4,0,1.353,0.251,0,1.102,0.251
Mar 20,DME Academy,"W, 58-54",0,8,4,9,0.0,0.0,0.0,0.0,22-47,46.8,4-18,22.2,10-17,58.8,58.0,0-0,-,0-0,-,54.0,11,40,51,51.0,0.0,0,0,51,0,1.303,1.303,0,-,1.303
Mar 24,Palm Beach State College,"L, 64-60",0,0,0,0,17.0,12.0,1.0,12.0,0-0,-,0-0,-,0-0,-,60.0,23-63,36.5,6-25,24.0,64.0,0,0,0,-37.0,14.0,23,37,-37,0,-,-0.865,9,0.865,-0.865
Mar 27,Florida Southwestern State College,"W, 67-65",0,12,3,13,18.0,17.0,2.0,11.0,22-56,39.3,6-20,30.0,17-24,70.8,67.0,26-76,34.2,3-18,16.7,65.0,15,25,40,-10.0,16.0,34,50,-10,0,1.264,0.513,16,0.751,0.513
Mar 29,at Indian River State College,"W, 71-66",0,12,12,16,20.0,16.0,3.0,7.0,31-51,60.8,5-11,45.5,4-12,33.3,71.0,24-92,26.1,5-35,14.3,66.0,10,36,46,-2.0,26.0,22,48,-2,13,1.511,0.812,0,0.698,0.812
Mar 31,at St. Petersburg College,"W, 95-85",0,9,8,20,19.0,13.0,3.0,13.0,32-59,54.2,13-20,65.0,18-23,78.3,95.0,33-78,42.3,4-10,40.0,85.0,13,24,37,-15.0,21.0,31,52,-15,0,1.652,0.681,21,0.971,0.681
